Signal Legend:

Key        Signal Name

0        = ad_in
1        = dac_out_data
2        = fsk_dm:u_fsk_dm|mix
3        = fsk_dm:u_fsk_dm|fir2_mix

Data Table:

Signals-> 0    1     2    3   

sample

669       2851 16332 325  -52 
670       2851 16332 325  -52 
671       2850 16332 325  -52 
672       2850 16332 322  -52 
673       2850 16332 322  -52 
674       2850 16332 322  -54 
675       2844 16330 322  -54 
676       2844 16330 320  -54 
677       2844 16330 320  -54 
678       2844 16330 320  -54 
679       2839 16330 320  -54 
680       2839 16330 317  -54 
681       2839 16330 317  -54 
682       2839 16330 317  -54 
683       2835 16330 317  -54 
684       2835 16330 316  -55 
685       2835 16329 314  -55 
686       2835 16329 314  -55 
687       2832 16329 314  -55 
688       2832 16329 313  -55 
689       2832 16329 312  -55 
690       2832 16329 312  -55 
691       2827 16329 312  -55 
692       2827 16329 310  -55 
693       2827 16329 309  -55 
694       2827 16329 309  -56 
695       2822 16329 305  -56 
696       2822 16328 307  -56 
697       2822 16328 305  -56 
698       2822 16328 305  -56 
699       2816 16328 305  -56 
700       2816 16328 305  -56 
701       2816 16328 303  -56 
702       2816 16328 303  -56 
703       2813 16328 300  -56 
704       2813 16328 298  -56 
705       2813 16328 298  -56 
706       2813 16328 298  -56 
707       2806 16328 298  -56 
708       2806 16328 295  -56 
709       2806 16328 295  -56 
710       2806 16328 295  -56 
711       2799 16328 295  -56 
712       2799 16328 291  -56 
713       2799 16328 291  -56 
714       2799 16328 291  -56 
715       2794 16328 291  -56 
716       2794 16328 290  -56 
717       2794 16328 287  -56 
718       2794 16328 287  -56 
719       2788 16328 287  -56 
720       2788 16328 285  -56 
721       2788 16328 283  -56 
722       2788 16328 283  -56 
723       2782 16328 283  -56 
724       2782 16328 281  -56 
725       2782 16328 279  -54 
726       2782 16330 279  -54 
727       2775 16330 279  -54 
728       2775 16330 277  -54 
729       2775 16330 275  -54 
730       2775 16330 275  -54 
731       2768 16330 274  -54 
732       2768 16330 274  -54 
733       2768 16330 271  -54 
734       2768 16330 271  -54 
735       2763 16330 269  -50 
736       2763 16334 266  -50 
737       2763 16334 266  -50 
738       2763 16334 266  -50 
739       2755 16334 266  -50 
740       2755 16334 262  -50 
741       2755 16334 262  -50 
742       2755 16334 262  -50 
743       2748 16334 262  -50 
744       2748 16334 257  -50 
745       2748 16334 257  -50 
746       2748 16334 257  -45 
747       2740 16339 257  -45 
748       2740 16339 255  -45 
749       2740 16339 252  -45 
750       2740 16339 252  -45 
751       2733 16339 252  -45 
752       2733 16339 250  -45 
753       2733 16339 248  -45 
754       2733 16339 248  -45 
755       2724 16339 248  -45 
756       2724 16339 245  -39 
757       2724 16345 243  -39 
758       2724 16345 243  -39 
759       2719 16345 242  -39 
760       2719 16345 240  -39 
761       2719 16345 237  -39 
762       2719 16345 237  -39 
763       2710 16345 236  -39 
764       2710 16345 236  -39 
765       2710 16345 234  -39 
766       2710 16345 234  -32 
767       2701 16352 231  -32 
768       2701 16352 228  -32 
769       2701 16352 228  -32 
770       2701 16352 228  -32 
771       2694 16352 228  -32 
772       2694 16352 223  -32 
773       2694 16352 223  -32 
774       2694 16352 223  -32 
775       2686 16352 223  -32 
776       2686 16352 218  -23 
777       2686 16361 218  -23 
778       2686 16361 218  -23 
779       2675 16361 218  -23 
780       2675 16361 216  -23 
781       2675 16361 213  -23 
782       2675 16361 213  -23 
783       2667 16361 213  -23 
784       2667 16361 210  -23 
785       2667 16361 206  -23 
786       2667 16361 206  -23 
787       2659 16361 206  -14 
788       2659 16370 205  -14 
789       2659 16370 202  -14 
790       2659 16370 202  -14 
791       2648 16370 202  -14 
792       2648 16370 200  -14 
793       2648 16370 197  -14 
794       2648 16370 197  -14 
795       2642 16370 194  -14 
796       2642 16370 194  -14 
797       2642 16370 191  -4  
798       2642 16380 191  -4  
799       2632 16380 189  -4  
800       2632 16380 187  -4  
801       2632 16380 187  -4  
802       2632 16380 187  -4  
803       2619 16380 187  -4  
804       2619 16380 181  -4  
805       2619 16380 181  -4  
806       2619 16380 181  -4  
807       2611 16380 181  6   
808       2611 6     174  6   
809       2611 6     174  6   
810       2611 6     174  6   
811       2604 6     174  6   
812       2604 6     172  6   
813       2604 6     170  6   
